Time,Red_Signal
06:00:00.005024,497
06:00:00.021826,499
06:00:00.021826,486
06:00:00.037827,486
06:00:00.053731,482
06:00:00.054117,491
06:00:00.069803,482
06:00:00.069803,484
06:00:00.085826,483
06:00:00.101820,491
06:00:00.101820,491
06:00:00.117818,496
06:00:00.133372,492
06:00:00.133372,495
06:00:00.149389,481
06:00:00.149975,478
06:00:00.165528,475
06:00:00.181681,483
06:00:00.181681,486
06:00:00.197684,496
06:00:00.213517,498
06:00:00.214026,507
06:00:00.229517,496
06:00:00.229517,496
06:00:00.245821,493
06:00:00.261823,500
06:00:00.261823,500
06:00:00.277525,509
06:00:00.293532,496
06:00:00.293532,483
06:00:00.309405,461
06:00:00.309405,448
06:00:00.325285,436
06:00:00.341289,436
06:00:00.341289,437
06:00:00.357814,456
06:00:00.373329,477
06:00:00.373329,499
06:00:00.389598,499
06:00:00.389598,505
06:00:00.405526,505
06:00:00.421680,512
06:00:00.421680,508
06:00:00.437534,509
06:00:00.453513,501
06:00:00.453951,492
06:00:00.469631,465
06:00:00.469631,449
06:00:00.485677,432
06:00:00.501670,426
06:00:00.501670,416
06:00:00.517820,411
06:00:00.533795,402
06:00:00.533795,395
06:00:00.549472,376
06:00:00.549965,368
06:00:00.565668,360
06:00:00.581688,362
06:00:00.581688,359
06:00:00.597676,361
06:00:00.613033,358
06:00:00.614041,362
06:00:00.629809,349
06:00:00.629809,347
06:00:00.645819,343
06:00:00.661669,348
06:00:00.662188,349
06:00:00.677817,356
06:00:00.693683,358
06:00:00.694023,360
06:00:00.709568,352
06:00:00.709568,352
06:00:00.725814,353
06:00:00.741668,366
06:00:00.741668,370
06:00:00.757760,380
06:00:00.773421,386
06:00:00.774416,394
06:00:00.789807,387
06:00:00.804812,380
06:00:00.805812,369
06:00:00.820819,370
06:00:00.821819,372
06:00:00.837823,385
06:00:00.853840,398
06:00:00.853840,423
06:00:00.869363,440
06:00:00.885370,467
06:00:00.885370,494
06:00:00.901374,521
06:00:00.901374,537
06:00:00.917757,560
06:00:00.933726,576
06:00:00.933726,585
06:00:00.949784,576
06:00:00.965815,575
06:00:00.965815,571
06:00:00.981668,577
06:00:00.981668,570
06:00:00.997660,569
06:00:01.013506,568
06:00:01.014076,567
06:00:01.029595,550
06:00:01.045624,545
06:00:01.045624,541
06:00:01.061738,545
06:00:01.061738,545
06:00:01.077653,548
06:00:01.093392,547
06:00:01.093392,546
06:00:01.109808,532
06:00:01.125810,518
06:00:01.125810,510
06:00:01.141662,512
06:00:01.141662,514
06:00:01.157777,520
06:00:01.173492,525
06:00:01.173492,523
06:00:01.189664,507
06:00:01.205662,500
06:00:01.205662,495
06:00:01.221657,493
06:00:01.221657,489
06:00:01.237548,486
06:00:01.253536,482
06:00:01.254036,474
06:00:01.269039,455
06:00:01.285044,445
06:00:01.286044,429
06:00:01.301721,409
06:00:01.301721,389
06:00:01.317729,377
06:00:01.333731,369
06:00:01.333731,369
06:00:01.349744,375
06:00:01.365273,398
06:00:01.365273,421
06:00:01.381279,444
06:00:01.381279,460
06:00:01.397291,470
06:00:01.413446,472
06:00:01.413446,468
06:00:01.429733,450
06:00:01.445524,439
06:00:01.445524,430
06:00:01.461676,425
06:00:01.462043,420
06:00:01.477653,415
06:00:01.493660,411
06:00:01.493660,404
06:00:01.509809,390
06:00:01.525806,386
06:00:01.525806,383
06:00:01.541877,388
06:00:01.541877,394
06:00:01.557772,401
06:00:01.573135,410
06:00:01.574139,409
06:00:01.589806,403
06:00:01.605804,402
06:00:01.605804,406
06:00:01.621807,412
06:00:01.637642,421
06:00:01.637642,426
06:00:01.653554,432
06:00:01.653554,431
06:00:01.669671,424
06:00:01.685670,422
06:00:01.685670,425
06:00:01.701841,430
06:00:01.717650,434
06:00:01.718005,438
06:00:01.733510,445
06:00:01.733510,444
06:00:01.749656,437
06:00:01.765418,436
06:00:01.765418,443
06:00:01.781500,449
06:00:01.796925,448
06:00:01.797924,440
06:00:01.812928,433
06:00:01.813928,429
06:00:01.828933,431
06:00:01.844941,436
06:00:01.845940,444
06:00:01.861467,464
06:00:01.877487,495
06:00:01.877487,523
06:00:01.893494,551
06:00:01.894022,561
06:00:01.909802,562
06:00:01.925802,557
06:00:01.925802,560
06:00:01.941803,557
06:00:01.957620,556
06:00:01.958127,551
06:00:01.973030,549
06:00:01.974038,535
06:00:01.989545,515
06:00:02.005512,499
06:00:02.005512,493
06:00:02.021666,489
06:00:02.037640,478
06:00:02.038042,469
06:00:02.053504,469
06:00:02.053946,463
06:00:02.069652,452
06:00:02.085802,446
06:00:02.085802,450
06:00:02.101648,451
06:00:02.117297,457
06:00:02.117297,457
06:00:02.133032,463
06:00:02.134040,454
06:00:02.149513,442
06:00:02.165664,434
06:00:02.166019,439
06:00:02.181662,440
06:00:02.197492,450
06:00:02.198100,449
06:00:02.213684,454
06:00:02.213684,446
06:00:02.229796,440
06:00:02.245787,433
06:00:02.245787,432
06:00:02.261635,433
06:00:02.277889,442
06:00:02.277889,441
06:00:02.292893,434
06:00:02.293894,418
06:00:02.308900,407
06:00:02.324905,394
06:00:02.325905,393
06:00:02.340911,392
06:00:02.357576,411
06:00:02.358070,430
06:00:02.373489,460
06:00:02.373902,471
06:00:02.389510,481
06:00:02.405514,487
06:00:02.405514,493
06:00:02.421560,494
06:00:02.437760,501
06:00:02.437760,495
06:00:02.453768,498
06:00:02.454119,483
06:00:02.469590,472
06:00:02.485647,461
06:00:02.485647,455
06:00:02.501794,450
06:00:02.516952,457
06:00:02.517957,454
06:00:02.533486,462
06:00:02.549782,452
06:00:02.549958,449
06:00:02.565511,443
06:00:02.565999,446
06:00:02.581639,447
06:00:02.597020,455
06:00:02.597964,453
06:00:02.613486,458
06:00:02.629795,448
06:00:02.629795,444
06:00:02.645785,436
06:00:02.646124,441
06:00:02.661765,441
06:00:02.677348,451
06:00:02.677348,448
06:00:02.693351,457
06:00:02.709359,448
06:00:02.709359,445
06:00:02.725789,441
06:00:02.725789,447
06:00:02.741766,449
06:00:02.757500,457
06:00:02.758159,456
06:00:02.773684,463
06:00:02.789221,451
06:00:02.789221,435
06:00:02.805221,414
06:00:02.805221,405
06:00:02.821229,393
06:00:02.837235,393
06:00:02.837235,392
06:00:02.853241,411
06:00:02.869763,423
06:00:02.869763,439
06:00:02.885781,449
06:00:02.885781,465
06:00:02.901787,471
06:00:02.917790,480
06:00:02.917790,477
06:00:02.933694,478
06:00:02.949793,462
06:00:02.949793,449
06:00:02.965786,436
06:00:02.966120,435
06:00:02.981606,429
06:00:02.997788,432
06:00:02.998137,427
06:00:03.013481,430
06:00:03.029646,420
06:00:03.030001,412
06:00:03.045638,406
06:00:03.045638,413
06:00:03.061631,415
06:00:03.077648,425
06:00:03.077648,424
06:00:03.093659,432
06:00:03.109787,424
06:00:03.109787,420
06:00:03.125604,419
06:00:03.125604,430
06:00:03.141757,435
06:00:03.157639,448
06:00:03.157639,451
06:00:03.173675,462
06:00:03.189783,460
06:00:03.190140,459
06:00:03.205602,459
06:00:03.205602,472
06:00:03.221651,480
06:00:03.237643,495
06:00:03.237643,500
06:00:03.253647,511
06:00:03.269319,506
